focal_method,test_prefix,docstring,test_prefix_true,test_scenario,original_index,test_case
"public static <E> Iterator<E> collatedIterator(final Comparator<? super E> comparator,
                                                   final Iterator<? extends E> iterator1,
                                                   final Iterator<? extends E> iterator2) {
        return new CollatingIterator<E>(comparator, iterator1, iterator2);
    }","public void test_0_3() throws Exception {
    List<Integer> list1 = Arrays.asList(1, 3);
    List<Integer> list2 = Arrays.asList(2, 4);
    Iterator<Integer> it = IteratorUtils.collatedIterator(null, list1.iterator(), list2.iterator());

}","/**
     * Gets an iterator that provides an ordered iteration over the elements
     * contained in a collection of ordered {@link Iterator}s.
     * <p>
     * Given two ordered {@link Iterator}s <code>A</code> and <code>B</code>,
     * the {@link Iterator#next()} method will return the lesser of
     * <code>A.next()</code> and <code>B.next()</code>.
     * <p>
     * The comparator is optional. If null is specified then natural order is used.
     *
     * @param <E>  the element type
     * @param comparator  the comparator to use, may be null for natural order
     * @param iterator1  the first iterators to use, not null
     * @param iterator2  the first iterators to use, not null
     * @return a combination iterator over the iterators
     * @throws NullPointerException if either iterator is null
     */","public void test_0_3() throws Exception {
    List<Integer> list1 = Arrays.asList(1, 3);
    List<Integer> list2 = Arrays.asList(2, 4);
    Iterator<Integer> it = IteratorUtils.collatedIterator(null, list1.iterator(), list2.iterator());

}","Test scenario:  
The test is verifying the behavior of the `collatedIterator` method from the `IteratorUtils` class when provided with two ordered iterators (`list1.iterator()` and `list2.iterator()`) and a `null` comparator. The test checks that the returned iterator correctly merges the elements of the two input iterators in a sorted order using their natural ordering. The test involves two ordered lists (`list1` and `list2`) as input and ensures that the resulting iterator adheres to the expected behavior of collating elements in ascending order.

Category: Functional test (verifying correct behavior of the method under normal conditions with valid inputs).",200,"public void test_0_3() throws Exception {
    List<Integer> list1 = Arrays.asList(1, 3);
    List<Integer> list2 = Arrays.asList(2, 4);
    Iterator<Integer> it = IteratorUtils.collatedIterator(null, list1.iterator(), list2.iterator());

}"
"public static String parseName(byte[] buffer, final int offset, final int length) {
        StringBuffer result = new StringBuffer(length);
        int          end = offset + length;

        for (int i = offset; i < end; ++i) {
            if (buffer[i] == 0) {
                break;
            }
            result.append((char) buffer[i]);
        }

        return result.toString();
    }","public void test_4_3() throws Exception {
    byte[] buffer = {65, 66, 67, 68, 69};
    String result = TarUtils.parseName(buffer, 1, 3);

}","/**
     * Parse an entry name from a buffer.
     * Parsing stops when a NUL is found
     * or the buffer length is reached.
     *
     * @param buffer The buffer from which to parse.
     * @param offset The offset into the buffer from which to parse.
     * @param length The maximum number of bytes to parse.
     * @return The entry name.
     */","public void test_4_3() throws Exception {
    byte[] buffer = {65, 66, 67, 68, 69};
    String result = TarUtils.parseName(buffer, 1, 3);

}","Test scenario:  
The test verifies the behavior of the `parseName` method in parsing a subset of bytes from a provided buffer and converting them into a string. Specifically, it checks that the method correctly processes the buffer from a given offset for a specified length and stops parsing when encountering a NUL byte or reaching the end of the specified length. The test ensures that the resulting string contains the expected characters based on the input parameters.  

Category:  
Functionality testing for string parsing from byte arrays.",201,"public void test_4_3() throws Exception {
    byte[] buffer = {65, 66, 67, 68, 69};
    String result = TarUtils.parseName(buffer, 1, 3);

}"
"public static String parseName(byte[] buffer, final int offset, final int length) {
        StringBuffer result = new StringBuffer(length);
        int          end = offset + length;

        for (int i = offset; i < end; ++i) {
            if (buffer[i] == 0) {
                break;
            }
            result.append((char) buffer[i]);
        }

        return result.toString();
    }","public void test_4_6() throws Exception {
    byte[] buffer = {65};
    String result = TarUtils.parseName(buffer, 0, 1);

}","/**
     * Parse an entry name from a buffer.
     * Parsing stops when a NUL is found
     * or the buffer length is reached.
     *
     * @param buffer The buffer from which to parse.
     * @param offset The offset into the buffer from which to parse.
     * @param length The maximum number of bytes to parse.
     * @return The entry name.
     */","public void test_4_6() throws Exception {
    byte[] buffer = {65};
    String result = TarUtils.parseName(buffer, 0, 1);

}","Test scenario:  
The test is exercising the behavior of the `parseName` method in the `TarUtils` class to ensure it correctly parses a name from a given byte buffer. Specifically, it tests if the method can extract a string of the specified length starting from the given offset, stopping at a NUL character (if present) or the end of the specified length.  

The test involves a buffer of bytes (`byte[] buffer`) containing ASCII characters, with the role of providing input data to be parsed. The `parseName` method is the focal method under test, responsible for parsing the entry name from the buffer.  

The high-level goal of this test is to verify that the `parseName` method correctly handles a simple case where the buffer contains a single character and no NUL character, ensuring the method returns the expected string representation of the character without errors.  

Category: Normal behavior testing.",202,"public void test_4_6() throws Exception {
    byte[] buffer = {65};
    String result = TarUtils.parseName(buffer, 0, 1);

}"
"protected void setName(String name) {
        this.name = name;
    }","public void test_7_4() throws Exception {
    ZipArchiveEntry entry = new ZipArchiveEntry();
    entry.setPlatform(ZipArchiveEntry.PLATFORM_FAT);
    entry.setName(""filename"");

}","/**
     * Set the name of the entry.
     * @param name the name to use
     */","public void test_7_4() throws Exception {
    ZipArchiveEntry entry = new ZipArchiveEntry();
    entry.setPlatform(ZipArchiveEntry.PLATFORM_FAT);
    entry.setName(""filename"");

}","Test scenario:
The test is validating the behavior of the `setName` method in the `ZipArchiveEntry` class. Specifically, it tests whether the method correctly sets the name of a `ZipArchiveEntry` object when provided with a valid name. The test ensures that the `name` field is updated appropriately in accordance with the method's contract as described in the Javadoc.

Category:
Basic functionality test for setting the name of a `ZipArchiveEntry` object.",203,"public void test_7_4() throws Exception {
    ZipArchiveEntry entry = new ZipArchiveEntry();
    entry.setPlatform(ZipArchiveEntry.PLATFORM_FAT);
    entry.setName(""filename"");

}"
"public ArchiveInputStream createArchiveInputStream(final InputStream in)
            throws ArchiveException {
        if (in == null) {
            throw new IllegalArgumentException(""Stream must not be null."");
        }

        if (!in.markSupported()) {
            throw new IllegalArgumentException(""Mark is not supported."");
        }

        final byte[] signature = new byte[12];
        in.mark(signature.length);
        try {
            int signatureLength = in.read(signature);
            in.reset();
            if (ZipArchiveInputStream.matches(signature, signatureLength)) {
                return new ZipArchiveInputStream(in);
            } else if (JarArchiveInputStream.matches(signature, signatureLength)) {
                return new JarArchiveInputStream(in);
            } else if (ArArchiveInputStream.matches(signature, signatureLength)) {
                return new ArArchiveInputStream(in);
            } else if (CpioArchiveInputStream.matches(signature, signatureLength)) {
                return new CpioArchiveInputStream(in);
            }

            // Dump needs a bigger buffer to check the signature;
            final byte[] dumpsig = new byte[32];
            in.mark(dumpsig.length);
            signatureLength = in.read(dumpsig);
            in.reset();
            if (DumpArchiveInputStream.matches(dumpsig, signatureLength)) {
                return new DumpArchiveInputStream(in);
            }

            // Tar needs an even bigger buffer to check the signature; read the first block
            final byte[] tarheader = new byte[512];
            in.mark(tarheader.length);
            signatureLength = in.read(tarheader);
            in.reset();
            if (TarArchiveInputStream.matches(tarheader, signatureLength)) {
                return new TarArchiveInputStream(in);
            }
            // COMPRESS-117 - improve auto-recognition
            if (signatureLength >= 512) {
                try {
                    TarArchiveInputStream tais = new TarArchiveInputStream(new ByteArrayInputStream(tarheader));
                    // COMPRESS-191 - verify the header checksum
                    tais.getNextEntry();
                        return new TarArchiveInputStream(in);
                } catch (Exception e) { // NOPMD
                    // can generate IllegalArgumentException as well
                    // as IOException
                    // autodetection, simply not a TAR
                    // ignored
                }
            }
        } catch (IOException e) {
            throw new ArchiveException(""Could not use reset and mark operations."", e);
        }

        throw new ArchiveException(""No Archiver found for the stream signature"");
    }","public void test_10_1()  throws Exception {

    byte[] invalidTarHeader = new byte[512];

    InputStream in = new ByteArrayInputStream(invalidTarHeader);
    ArchiveStreamFactory factory = new ArchiveStreamFactory();
    factory.createArchiveInputStream(in);
}","/**
     * Create an archive input stream from an input stream, autodetecting
     * the archive type from the first few bytes of the stream. The InputStream
     * must support marks, like BufferedInputStream.
     * 
     * @param in the input stream
     * @return the archive input stream
     * @throws ArchiveException if the archiver name is not known
     * @throws IllegalArgumentException if the stream is null or does not support mark
     */","public void test_10_1()  throws Exception {

    byte[] invalidTarHeader = new byte[512];

    InputStream in = new ByteArrayInputStream(invalidTarHeader);
    ArchiveStreamFactory factory = new ArchiveStreamFactory();
    factory.createArchiveInputStream(in);
}","Test scenario:
This test is designed to verify the behavior of the `createArchiveInputStream(InputStream in)` method when provided with an invalid tar header. Specifically, it ensures that the method correctly identifies the input stream as not matching any supported archive type and throws an appropriate `ArchiveException`. The test involves creating a `ByteArrayInputStream` with a 512-byte array of invalid tar header data and passing it to the `createArchiveInputStream` method of the `ArchiveStreamFactory` class. The high-level goal is to validate the robustness and correctness of the archive type autodetection mechanism when faced with invalid input.

Category: Exception handling scenario",204,"public void test_10_1()  throws Exception {

    byte[] invalidTarHeader = new byte[512];

    InputStream in = new ByteArrayInputStream(invalidTarHeader);
    ArchiveStreamFactory factory = new ArchiveStreamFactory();
    factory.createArchiveInputStream(in);
}"
"public static long skip(InputStream input, long numToSkip) throws IOException {
        long available = numToSkip;
        while (numToSkip > 0) {
            long skipped = input.skip(numToSkip);
            if (skipped == 0) {
                break;
            }
            numToSkip -= skipped;
        }
            
        return available - numToSkip;
    }","public void test_21_0()  throws Exception {
    byte[] data = new byte[1024];
    InputStream input = new ByteArrayInputStream(data);
    long skipped = IOUtils.skip(input, 512);
}","/**
     * Skips the given number of bytes by repeatedly invoking skip on
     * the given input stream if necessary.
     *
     * <p>In a case where the stream's skip() method returns 0 before
     * the requested number of bytes has been skip this implementation
     * will fall back to using the read() method.</p>
     *
     * <p>This method will only skip less than the requested number of
     * bytes if the end of the input stream has been reached.</p>
     *
     * @param input stream to skip bytes in
     * @param numToSkip the number of bytes to skip
     * @return the number of bytes actually skipped
     * @throws IOException
     */","public void test_21_0()  throws Exception {
    byte[] data = new byte[1024];
    InputStream input = new ByteArrayInputStream(data);
    long skipped = IOUtils.skip(input, 512);
}","Test scenario:
This test verifies that the `IOUtils.skip` method correctly skips the specified number of bytes (512) in the given `InputStream`. The test exercises the behavior of skipping bytes using the `skip` method of the `InputStream` and ensures that the fallback mechanism (using `read`) is applied if the `skip` method of the stream returns 0 before the requested number of bytes is skipped. The test involves a `ByteArrayInputStream` initialized with dummy data and aims to confirm that the method handles the skipping operation as specified in its Javadoc, including edge cases like reaching the end of the stream or handling streams that do not skip as expected.

Category:
Functional behavior verification.",205,"public void test_21_0()  throws Exception {
    byte[] data = new byte[1024];
    InputStream input = new ByteArrayInputStream(data);
    long skipped = IOUtils.skip(input, 512);
}"
"public static boolean verifyCheckSum(byte[] header) {
        long storedSum = 0;
        long unsignedSum = 0;
        long signedSum = 0;

        int digits = 0;
        for (int i = 0; i < header.length; i++) {
            byte b = header[i];
            if (CHKSUM_OFFSET  <= i && i < CHKSUM_OFFSET + CHKSUMLEN) {
                if ('0' <= b && b <= '7' && digits++ < 6) {
                    storedSum = storedSum * 8 + b - '0';
                } else if (digits > 0) {
                    digits = 6;
                }
                b = ' ';
            }
            unsignedSum += 0xff & b;
            signedSum += b;
        }
        return storedSum == unsignedSum || storedSum == signedSum;
    }","public void test_27_3() throws Exception {
    byte[] header = new byte[100];
    TarUtils.verifyCheckSum(header);
}","/**
     * Wikipedia <a href=""http://en.wikipedia.org/wiki/Tar_(file_format)#File_header"">says</a>:
     * <blockquote>
     * The checksum is calculated by taking the sum of the unsigned byte values
     * of the header block with the eight checksum bytes taken to be ascii
     * spaces (decimal value 32). It is stored as a six digit octal number with
     * leading zeroes followed by a NUL and then a space. Various
     * implementations do not adhere to this format. For better compatibility,
     * ignore leading and trailing whitespace, and get the first six digits. In
     * addition, some historic tar implementations treated bytes as signed.
     * Implementations typically calculate the checksum both ways, and treat it
     * as good if either the signed or unsigned sum matches the included
     * checksum.
     * </blockquote>
     * <p>
     * The return value of this method should be treated as a best-effort
     * heuristic rather than an absolute and final truth. The checksum
     * verification logic may well evolve over time as more special cases
     * are encountered.
     *
     * @param header tar header
     * @return whether the checksum is reasonably good
     * @see <a href=""https://issues.apache.org/jira/browse/COMPRESS-191"">COMPRESS-191</a>
     * @since 1.5
     */","public void test_27_3() throws Exception {
    byte[] header = new byte[100];
    TarUtils.verifyCheckSum(header);
}","Test scenario:
The test is exercising the behavior of the `verifyCheckSum` method in the `TarUtils` class to validate whether the checksum in a tar header is reasonably accurate. The method calculates the checksum using both signed and unsigned byte values and compares them to the stored checksum value in the header. It incorporates a heuristic approach to handle potential variations in tar file implementations.

Objects involved:
- `header`: A byte array representing the tar header, which contains the checksum and other metadata.
- `verifyCheckSum`: The focal method that processes the header and performs the checksum verification.

High-level goal or purpose:
The goal of the test is to ensure that the `verifyCheckSum` method correctly identifies whether the checksum in the tar header matches either the signed or unsigned calculated checksum values. This ensures compatibility with various tar implementations and serves as a best-effort heuristic for checksum validation.

Category:
Checksum validation and compatibility testing.",206,"public void test_27_3() throws Exception {
    byte[] header = new byte[100];
    TarUtils.verifyCheckSum(header);
}"
"@Override
    public boolean isDirectory() {
        if (file != null) {
            return file.isDirectory();
        }

        if (linkFlag == LF_DIR) {
            return true;
        }

        if (getName().endsWith(""/"")) {
            return true;
        }

        return false;
    }","public void test_30_0() throws Exception {
    TarArchiveEntry entry = new TarArchiveEntry(""testdir/"");

}","/**
     * Return whether or not this entry represents a directory.
     *
     * @return True if this entry is a directory.
     */","public void test_30_0() throws Exception {
    TarArchiveEntry entry = new TarArchiveEntry(""testdir/"");

}","Test scenario:  
The test is verifying the behavior of the `isDirectory()` method in the `TarArchiveEntry` class. Specifically, it checks whether the method correctly identifies a `TarArchiveEntry` object as representing a directory when the entry's name ends with a forward slash (`/`). The test involves creating a `TarArchiveEntry` instance with a name that explicitly suggests it is a directory (`""testdir/""`) and calling the `isDirectory()` method to confirm it returns `true`.  

Category: Functional test for directory identification in a tar archive entry.",207,"public void test_30_0() throws Exception {
    TarArchiveEntry entry = new TarArchiveEntry(""testdir/"");
    assertTrue(entry.isDirectory());
}"
"@Override
    public boolean canReadEntryData(final ArchiveEntry ae) {
        if (ae instanceof ZipArchiveEntry) {
            final ZipArchiveEntry ze = (ZipArchiveEntry) ae;
            return ZipUtil.canHandleEntryData(ze)
                && supportsDataDescriptorFor(ze);
        }
        return false;
    }","public void test_35_1() throws Exception {
    ZipArchiveInputStream zais = new ZipArchiveInputStream(new ByteArrayInputStream(new byte[0]));
    ZipArchiveEntry entry = new ZipArchiveEntry(""test"");

    entry.setMethod(ZipEntry.STORED);
    entry.setSize(100);
    entry.setCompressedSize(-1);

}","/**
     * Whether this class is able to read the given entry.
     *
     * <p>May return false if it is set up to use encryption or a
     * compression method that hasn't been implemented yet.</p>
     * @since 1.1
     */","public void test_35_1() throws Exception {
    ZipArchiveInputStream zais = new ZipArchiveInputStream(new ByteArrayInputStream(new byte[0]));
    ZipArchiveEntry entry = new ZipArchiveEntry(""test"");

    entry.setMethod(ZipEntry.STORED);
    entry.setSize(100);
    entry.setCompressedSize(-1);

}","Test scenario:  
The test is designed to validate whether the `ZipArchiveInputStream` can correctly determine if a `ZipArchiveEntry` is readable based on its properties, such as compression method, size, and data descriptor support. The behavior being exercised is the `canReadEntryData` method's ability to accurately assess the readability of a given archive entry. The involved objects are the `ZipArchiveInputStream` (which acts as the archive reader) and the `ZipArchiveEntry` (representing the entry being evaluated). The goal of the test is to ensure that the `canReadEntryData` method adheres to the expected logic for processing entries, including handling edge cases such as invalid or unsupported entry attributes.

Category: Exception handling scenario (validation of entry properties and edge cases).",208,"public void test_35_1() throws Exception {
    ZipArchiveInputStream zais = new ZipArchiveInputStream(new ByteArrayInputStream(new byte[0]));
    ZipArchiveEntry entry = new ZipArchiveEntry(""test"");

    entry.setMethod(ZipEntry.STORED);
    entry.setSize(100);
    entry.setCompressedSize(-1);
    assertFalse(zais.canReadEntryData(entry));
}"
"public String get(final String name) {
        if (mapping == null) {
            throw new IllegalStateException(
                    ""No header mapping was specified, the record values can't be accessed by name"");
        }
        final Integer index = mapping.get(name);
            return index != null ? values[index.intValue()] : null;
    }","public void test_38_1() throws Exception {
    Map<String, Integer> mapping = new HashMap<>();
    mapping.put(""header1"", null);
    String[] values = {""value1""};
    CSVRecord record = new CSVRecord(values, mapping, null, 1);
    record.get(""header1"");
}","/**
     * Returns a value by name.
     *
     * @param name
     *            the name of the column to be retrieved.
     * @return the column value, or {@code null} if the column name is not found
     * @throws IllegalStateException
     *             if no header mapping was provided
     * @throws IllegalArgumentException
     *             if the record is inconsistent
     * @see #isConsistent()
     */","public void test_38_1() throws Exception {
    Map<String, Integer> mapping = new HashMap<>();
    mapping.put(""header1"", null);
    String[] values = {""value1""};
    CSVRecord record = new CSVRecord(values, mapping, null, 1);
    record.get(""header1"");
}","Test scenario:  
The test is verifying the behavior of the `get(String name)` method in the `CSVRecord` class when the header mapping contains a `null` value for a specified column name. Specifically, it exercises the scenario where a column name (""header1"") is mapped to `null` in the `mapping` object, and the method is expected to handle this gracefully by returning `null` (as indicated by the Javadoc).

Category:  
Exception handling and edge case for header mapping with `null` values.",209,"public void test_38_1() throws Exception {
    Map<String, Integer> mapping = new HashMap<>();
    mapping.put(""header1"", null);
    String[] values = {""value1""};
    CSVRecord record = new CSVRecord(values, mapping, null, 1);
    record.get(""header1"");
}"
"public void println() throws IOException {
        final String recordSeparator = format.getRecordSeparator();
            out.append(recordSeparator);
        newRecord = true;
    }","public void test_40_1()  throws Exception {
    StringWriter writer = new StringWriter();
    CSVFormat format = CSVFormat.DEFAULT.withRecordSeparator("""");
    CSVPrinter printer = new CSVPrinter(writer, format);
    printer.println();

}","/**
     * Outputs the record separator.
     *
     * @throws IOException
     *             If an I/O error occurs
     */","public void test_40_1()  throws Exception {
    StringWriter writer = new StringWriter();
    CSVFormat format = CSVFormat.DEFAULT.withRecordSeparator("""");
    CSVPrinter printer = new CSVPrinter(writer, format);
    printer.println();

}","Test scenario:
The test is exercising the behavior of the `println()` method of the `CSVPrinter` class. Specifically, it tests whether the method correctly outputs the record separator as defined by the `CSVFormat` configuration. The test involves creating a `CSVPrinter` object with a specific `CSVFormat` that has a record separator set to an empty string (`""""`), and verifying that calling `println()` writes the record separator to the underlying `Appendable` (in this case, a `StringWriter`).

The objects involved are:
1. `StringWriter`: Acts as the underlying `Appendable` to capture the output of the `CSVPrinter`.
2. `CSVFormat`: Provides the configuration for the `CSVPrinter`, including the record separator.
3. `CSVPrinter`: The focal object whose `println()` method is being tested.

The high-level goal of this test is to ensure that the `println()` method adheres to its contract as described in the Javadoc, which specifies that it outputs the record separator defined by the `CSVFormat`. This test checks that the behavior aligns with the expected functionality when the record separator is an empty string.

Category:
Behavioral testing of record separator handling in `println()` method.",210,"public void test_40_1()  throws Exception {
    StringWriter writer = new StringWriter();
    CSVFormat format = CSVFormat.DEFAULT.withRecordSeparator("""");
    CSVPrinter printer = new CSVPrinter(writer, format);
    printer.println();

}"
"private Map<String, Integer> initializeHeader() throws IOException {
        Map<String, Integer> hdrMap = null;
        final String[] formatHeader = this.format.getHeader();
        if (formatHeader != null) {
            hdrMap = new LinkedHashMap<String, Integer>();

            String[] headerRecord = null;
            if (formatHeader.length == 0) {
                // read the header from the first line of the file
                final CSVRecord nextRecord = this.nextRecord();
                if (nextRecord != null) {
                    headerRecord = nextRecord.values();
                }
            } else {
                if (this.format.getSkipHeaderRecord()) {
                    this.nextRecord();
                }
                headerRecord = formatHeader;
            }

            // build the name to index mappings
            if (headerRecord != null) {
                for (int i = 0; i < headerRecord.length; i++) {
                    final String header = headerRecord[i];
                    final boolean containsHeader = hdrMap.containsKey(header);
                    final boolean emptyHeader = header.trim().isEmpty();
                    if (containsHeader && (!emptyHeader || (emptyHeader && !this.format.getIgnoreEmptyHeaders()))) {
                        throw new IllegalArgumentException(""The header contains a duplicate name: \"""" + header +
                                ""\"" in "" + Arrays.toString(headerRecord));
                    }
                    hdrMap.put(header, Integer.valueOf(i));
                }
            }
        }
        return hdrMap;
    }","public void test_43_3()  throws Exception {
    CSVFormat format = CSVFormat.DEFAULT.withHeader(""col1"", null, ""col2"").withIgnoreEmptyHeaders(false);
    CSVParser parser = new CSVParser(new StringReader(""""), format);
    Map<String, Integer> headerMap = parser.getHeaderMap();

}","/**
     * Initializes the name to index mapping if the format defines a header.
     *
     * @return null if the format has no header.
     * @throws IOException if there is a problem reading the header or skipping the first record
     */","public void test_43_3()  throws Exception {
    CSVFormat format = CSVFormat.DEFAULT.withHeader(""col1"", null, ""col2"").withIgnoreEmptyHeaders(false);
    CSVParser parser = new CSVParser(new StringReader(""""), format);
    Map<String, Integer> headerMap = parser.getHeaderMap();

}","Test scenario:  
The test is exercising the behavior of the `initializeHeader` method when the `CSVFormat` is configured with a header that contains a `null` value and `withIgnoreEmptyHeaders` is set to `false`. The test is verifying how the `CSVParser` handles the initialization of the header map in such a scenario, particularly focusing on whether it correctly handles invalid headers (e.g., `null` values) and whether it throws an appropriate exception or initializes the header map correctly.  

The objects involved include:  
1. A `CSVFormat` object, which is configured with a header containing a `null` value and the `withIgnoreEmptyHeaders` flag set to `false`.  
2. A `CSVParser` object, which uses the `CSVFormat` to parse an empty CSV input.  
3. The `initializeHeader` method, which is invoked implicitly via the `getHeaderMap` method to construct the header map.  

The high-level goal of this test is to ensure that the `CSVParser` adheres to the expected behavior when processing a header with invalid entries (e.g., `null` values), and to validate that the header initialization logic enforces constraints such as preventing null or duplicate headers when `withIgnoreEmptyHeaders` is set to `false`.  

Category: Exception handling scenario",211,"public void test_43_3()  throws Exception {
    CSVFormat format = CSVFormat.DEFAULT.withHeader(""col1"", null, ""col2"").withIgnoreEmptyHeaders(false);
    CSVParser parser = new CSVParser(new StringReader(""""), format);
    Map<String, Integer> headerMap = parser.getHeaderMap();
    assertEquals(3, headerMap.size());
}"
"public int calcHash(int q1)
    {
        int hash = q1 ^ _seed;
        /* 29-Mar-2015, tatu: Earlier used 15 + 9 right shifts, which worked ok
         *    except for one specific problem case: numbers. So needed to make sure
         *    that all 4 least-significant bits participate in hash. Couple of ways
         *    to work it out, but this is the simplest, fast and seems to do ok.
         */
        hash += (hash >>> 16); // to xor hi- and low- 16-bits
        hash ^= (hash >>> 12);
        return hash;
    }","public void test_57_2() throws Exception {
    ByteQuadsCanonicalizer canonicalizer = ByteQuadsCanonicalizer.createRoot();
    int result = canonicalizer.calcHash(Integer.MAX_VALUE);
}",,"public void test_57_2() throws Exception {
    ByteQuadsCanonicalizer canonicalizer = ByteQuadsCanonicalizer.createRoot();
    int result = canonicalizer.calcHash(Integer.MAX_VALUE);
}","Test scenario:
The test is verifying the behavior of the `calcHash(int q1)` method in the `ByteQuadsCanonicalizer` class. Specifically, it exercises the hash calculation logic for a single integer input (`q1`), ensuring that the method correctly computes a hash value by applying bitwise operations and shifts, as described in the method's implementation comments. The test uses the maximum possible integer value (`Integer.MAX_VALUE`) as input to validate the hash computation under an edge case scenario.

The involved objects and their roles are:
1. `ByteQuadsCanonicalizer` - The class under test, responsible for managing hash-based canonicalization of byte sequences.
2. `calcHash(int q1)` - The focal method, which performs a hash calculation for a single integer input.

The high-level goal of this test is to validate the correctness and robustness of the hash calculation logic, particularly ensuring that it handles extreme input values (like `Integer.MAX_VALUE`) without errors and produces a valid hash value.

Category: Functional Test (Edge Case)",212,"public void test_57_2() throws Exception {
    ByteQuadsCanonicalizer canonicalizer = ByteQuadsCanonicalizer.createRoot();
    int result = canonicalizer.calcHash(Integer.MAX_VALUE);
}"
"@Override
    public void writeNumber(BigDecimal value) throws IOException
    {
        // Don't really know max length for big decimal, no point checking
        _verifyValueWrite(WRITE_NUMBER);
        if (value == null) {
            _writeNull();
        } else  if (_cfgNumbersAsStrings) {
            String raw = Feature.WRITE_BIGDECIMAL_AS_PLAIN.enabledIn(_features) ? value.toPlainString() : value.toString();
            _writeQuotedRaw(raw);
        } else if (Feature.WRITE_BIGDECIMAL_AS_PLAIN.enabledIn(_features)) {
            writeRaw(value.toPlainString());
        } else {
            writeRaw(_asString(value));
        }
    }","public void test_71_3()  throws Exception {
    ByteArrayOutputStream out = new ByteArrayOutputStream();
    JsonFactory factory = new JsonFactory();
    JsonGenerator generator = factory.createGenerator(out);
    generator.writeNumber(new BigDecimal(""345.678""));
    generator.close();
}",,"public void test_71_3()  throws Exception {
    ByteArrayOutputStream out = new ByteArrayOutputStream();
    JsonFactory factory = new JsonFactory();
    JsonGenerator generator = factory.createGenerator(out);
    generator.writeNumber(new BigDecimal(""345.678""));
    generator.close();
}","Test scenario:  
The test is exercising the behavior of writing a `BigDecimal` value to a JSON output stream using the `JsonGenerator` implementation provided by the `UTF8JsonGenerator` class. The test ensures that the `writeNumber(BigDecimal value)` method correctly serializes the `BigDecimal` value into its appropriate JSON representation and writes it to the output stream.  

Objects involved:  
1. `JsonFactory`: Responsible for creating the `JsonGenerator` instance.  
2. `JsonGenerator` (specifically `UTF8JsonGenerator`): The focal object responsible for writing JSON data to the output stream.  
3. `ByteArrayOutputStream`: Acts as the target output stream where the JSON data is written.  

Purpose:  
The high-level goal of this test is to verify that the `writeNumber(BigDecimal value)` method correctly handles and serializes a `BigDecimal` value in accordance with the expected JSON format and writes it to the provided output stream. It also implicitly tests the integration between the `JsonGenerator` and the output stream.

Category: Functional Test",213,"public void test_71_3()  throws Exception {
    ByteArrayOutputStream out = new ByteArrayOutputStream();
    JsonFactory factory = new JsonFactory();
    JsonGenerator generator = factory.createGenerator(out);
    generator.writeNumber(new BigDecimal(""345.678""));
    generator.close();
}"
"public synchronized String getPrefix(String namespaceURI) {

    /**
     * Get the nearest prefix found that matches an externally-registered namespace. 
     * @param namespaceURI
     * @return String prefix if found.
     * @since JXPath 1.3
     */
        if (reverseMap == null) {
            reverseMap = new HashMap();
            NodeIterator ni = pointer.namespaceIterator();
            if (ni != null) {
                for (int position = 1; ni.setPosition(position); position++) {
                    NodePointer nsPointer = ni.getNodePointer();
                    String uri = nsPointer.getNamespaceURI();                    
                    String prefix = nsPointer.getName().getName();
                    if (!"""".equals(prefix)) {
                        reverseMap.put(uri, prefix);
                    }
                }
            }
            Iterator it = namespaceMap.entrySet().iterator();
            while (it.hasNext()) {
                Map.Entry entry = (Map.Entry) it.next();
                reverseMap.put(entry.getValue(), entry.getKey());
            }
        }
        String prefix = (String) reverseMap.get(namespaceURI);
        if (prefix == null && parent != null) {
            return parent.getPrefix(namespaceURI);
        }
        return prefix;
    }","public void test_97_4() throws Exception {
    NamespaceResolver resolver = new NamespaceResolver();
    resolver.registerNamespace(""test"", ""http://test.com"");
    resolver.getPrefix(""http://nonexistent.com"");
}","/**
     * Get the prefix associated with the specifed namespace URI.
     * @param namespaceURI the ns URI to check.
     * @return String prefix
     */","public void test_97_4() throws Exception {
    NamespaceResolver resolver = new NamespaceResolver();
    resolver.registerNamespace(""test"", ""http://test.com"");
    resolver.getPrefix(""http://nonexistent.com"");
}","Test scenario:
The test is verifying the behavior of the `getPrefix(String namespaceURI)` method when attempting to retrieve a prefix for a namespace URI that has not been registered. The test ensures that the method correctly handles the scenario where the provided namespace URI does not exist in the registered mappings. Specifically, the behavior under test is that the method should return `null` or an equivalent indicator of absence when no matching prefix is found for the given namespace URI.

Category:
Exception handling or edge case scenario.",214,"public void test_97_4() throws Exception {
    NamespaceResolver resolver = new NamespaceResolver();
    resolver.registerNamespace(""test"", ""http://test.com"");
    resolver.getPrefix(""http://nonexistent.com"");
}"
